Listing_ID,Title,Price,URL,Модел,Цена,Състояние,Тип,Произведено,Тип двигател,Мощност[к.с.],Скоростна кутия,Цвят,Пробег,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,
88425333,Citroen C3 1.1i* FACELIFT* LPG* ITALIA,"4 799 лв. - 2 453,69 €Не се начислява ДДС",https://www.auto.bg/obiava/88425333/citroen-c3-1-1i-facelift-lpg-italia,Citroen C3,4 799 лв.,Употребяван,Хечбек,октомври 2010 г.,Citroen C3 Бензин,60 к.с,Ръчна,Черен,177000 км,,,,,,,,,,,,,,,
63859461,Fiat Brava 1.8 16v,"1 999 лв. - 1 022,07 €Цената е с включено ДДС",https://www.auto.bg/obiava/63859461/fiat-brava-1-8-16v,Fiat Brava,1 999 лв.,Употребяван,Хечбек,септември 1997 г.,Fiat Brava Бензин,113 к.с,Ръчна,Тъмно син мет.,199000 км,,,,,,,,,,,,,,,
24035922,Kia Stinger * АВТО КРЕДИТ* ЦЕНА ДО БГ * CARFAX *,"54 899 лв. - 28 069,41 €Цената е с включено ДДС",https://www.auto.bg/obiava/24035922/kia-stinger-avto-kredit-tsena-do-bg-carfax,Kia Stinger,54 899 лв.,Употребяван,Седан,ноември 2023 г.,Kia Stinger Бензин,368 к.с,Автоматична,,53590 км,,,,,,,,,,,,,,,
84282997,BMW X3 * xDrive30i SPORT PKG /LEATHER/PANO/ROOF/NAVI/CAME,"39 200 лв. - 20 042,64 €Цената е с включено ДДС",https://www.auto.bg/obiava/84282997/bmw-x3-xdrive30i-sport-pkg-leather-pano-roof-navi-came,BMW X3,39 200 лв.,Употребяван,Джип,януари 2018 г.,BMW X3 Бензин,248 к.с,Автоматична,,98212 км,,,,,,,,,,,,,,,
53133604,Volvo XC40 * R-DESIGN T5 /NAV PAN/ROOF/B/SPOT/CARPLAY/CAMERA,"46 350 лв. - 23 698,38 €Цената е с включено ДДС",https://www.auto.bg/obiava/53133604/volvo-xc40-r-design-t5-nav-pan-roof-b-spot-carplay-camera,Volvo XC40,46 350 лв.,Употребяван,Джип,януари 2022 г.,Volvo XC40 Бензин,248 к.с,Автоматична,,113972 км,,,,,,,,,,,,,,,
16313225,Chrysler Pacifica * LIMITED/LEATHER/NAV/CAMERA,"36 700 лв. - 18 764,41 €Цената е с включено ДДС",https://www.auto.bg/obiava/16313225/chrysler-pacifica-limited-leather-nav-camera,Chrysler Pacifica,36 700 лв.,Употребяван,Миниван,януари 2018 г.,Chrysler Pacifica Бензин,260 к.с,Автоматична,,139997 км,,,,,,,,,,,,,,,
22072267,Mercedes-Benz GLA 250 4matic Бензин,"37 300 лв. - 19 071,19 €Не се начислява ДДС",https://www.auto.bg/obiava/22072267/mercedes-benz-gla-250-4matic-benzin,Mercedes-Benz GLA 250,37 300 лв.,Употребяван,Джип,януари 2015 г.,Mercedes-Benz GLA 250 Бензин,211 к.с,Автоматична,Бял,153127 км,,,,,,,,,,,,,,,
23810561,Chevrolet Camaro * 1LT RS/SUNROOF A/CARPLAY P/SEAT CAMERA,"35 350 лв. - 18 074,17 €Цената е с включено ДДС",https://www.auto.bg/obiava/23810561/chevrolet-camaro-1lt-rs-sunroof-a-carplay-p-seat-camera,Chevrolet Camaro,35 350 лв.,Употребяван,Купе,януари 2018 г.,Chevrolet Camaro Бензин,,Автоматична,,127937 км,,,,,,,,,,,,,,,
40409720,Nissan X-trail T31,"6 800 лв. - 3 476,78 €Не се начислява ДДС",https://www.auto.bg/obiava/40409720/nissan-x-trail-t31,Nissan X-trail,6 800 лв.,Употребяван,Джип,април 2008 г.,Nissan X-trail Дизел,150 к.с,Ръчна,Черен,164000 км,,,,,,,,,,,,,,,
88744322,Opel Combo,"11 300 лв. - 5 777,60 €Не се начислява ДДС",https://www.auto.bg/obiava/88744322/opel-combo,Opel Combo,11 300 лв.,Употребяван,Ван,септември 2013 г.,Opel Combo Бензин,95 к.с,Ръчна,Сив,132000 км,,,,,,,,,,,,,,,
41259929,Hyundai Santa fe * АВТО КРЕДИТ* ЦЕНА ДО БГ * CARFAX *,"18 999 лв. - 9 714,03 €Цената е с включено ДДС",https://www.auto.bg/obiava/41259929/hyundai-santa-fe-avto-kredit-tsena-do-bg-carfax,Hyundai Santa fe,18 999 лв.,Употребяван,Джип,октомври 2018 г.,Hyundai Santa fe Бензин,185 к.с,Автоматична,,196312 км,,,,,,,,,,,,,,,
